Model,Price
"1995 SL600",3000
"1996 350GD",2750
"1996 C220",2750
"1996 C230",2750
"1996 C280",2750
"1996 S320",2750
"1996 SL320",2750
"1996 SL500",2750
"1996 s600",3000
"1997 C230",2750
"1997 C280",2750
"1997 E300D",2750
"1997 E320",2750
"1997 E420",2750
"1997 S320",2750
"1997 S420",2750
"1997 S500",2750
"1997 SL500",2750
"1997 SL600",2750
"1998 C230",2750
"1998 C43",2750
"1998 E300D",2750
"1998 E320",2750
"1998 E320 4 MATIC",2750
"1998 E420",2750
"1998 E430",2750
"1998 E55 AMG",2750
"1998 ML 320",2750
"1998 S320",2750
"1998 S420",2750
"1998 S500",2750
"1998 SL 500",2750
"1998 SL600",2750
"1998 SLK230",2750
"1999 C280",2750
"1999 C43",2750
"1999 CL500",2750
"1999 CLK320",2750
"1999 CLK430",2750
"1999 E300D",2750
"1999 E320",2750
"1999 E320 4MATIC WAGON",2750
"1999 E430",2750
"1999 G500",2750
"1999 ML430",2750
"1999 S320",2750
"1999 S420",2750
"1999 S500",2750
"1999 SL500",2750
"1999 SL600",2750
"1999 SLK 230",2750
"2000 C280",2750
"2000 E320",2750
"2000 E320 4 MATIC",2750
"2000 E430",2750
"2000 G500",2750
"2000 ML320",2750
"2000 ML430",2750
"2000 S430",2750
"2000 S500",2750
"2000 SL500",2750
"2000 SL600",2750
"2000 cl500",2750
"2001 C230",2750
"2001 CLK55",2750
"2001 E320",2750
"2001 E320 4Matic",2750
"2001 ML320",2750
"2001 S430",2750
"2001 SLK 320",2750
"2001 e430",2750
"2002 C230",2750
"2002 C230 4Matic",2750
"2002 C32",2750
"2002 CLK320",2750
"2002 CLK430",2750
"2002 CLK55",2750
"2002 E320",2750
"2002 E320 4Matic",2750
"2002 E430",2750
"2002 E55",2750
"2002 G400 CDI",2750
"2002 G500",2750
"2002 ML500",2750
"2002 S430",2750
"2002 S500",2750
"2002 S55",2750
"2002 SL500",2750
"2002 Sprinter 2500",2750
"2003 C230",2750
"2003 C320",2750
"2003 CL55",2750
"2003 CLK320",2750
"2003 CLK500",2750
"2003 E320",2750
"2003 E500",2750
"2003 E55",2750
"2003 G500",2750
"2003 G55",2750
"2003 Jaguar",2750
"2003 S430",2750
"2003 S500 4MATIC",2750
"2003 S55",2750
"2003 S600",2750
"2003 SL500",2750
"2003 SL55 AMG",2750
"2003 c240",2750
"2003 ml350",2750
"2004 C230",2750
"2004 C240",2750
"2004 C320",2750
"2004 C55",2750
"2004 CL500",3500
"2004 CLK320",2750
"2004 CLK55",2750
"2004 E320",2750
"2004 E320 4Matic",2750
"2004 E320 CDI",2750
"2004 E500",2750
"2004 E500 4Matic",2750
"2004 E55",2750
"2004 G500",2750
"2004 ML350 722.6",2750
"2004 ML500",3500
"2004 S430",2750
"2004 S500",3500
"2004 S55",3500
"2004 SL500",3500
"2004 Sprinter 2500",2750
"2004 maybach 57",2750
"2005 C55 AMG",2750
"2005 CL 65",3500
"2005 CL500",3500
"2005 CL55",3500
"2005 CLK 500",2750
"2005 CLK 500 9 series",3500
"2005 CLK320",3500
"2005 CLS 500",3500
"2005 CLS 55",3500
"2005 CLS500",3500
"2005 E320  CDI",2750
"2005 E320 CDI",2750
"2005 E350",3500
"2005 E500",3500
"2005 E55 AMG",3500
"2005 G500",2750
"2005 G55 AMG",3500
"2005 ML350",3500
"2005 ML500",3500
"2005 S430",3500
"2005 S500",3500
"2005 S500 4Matic",3500
"2005 S55",3500
"2005 S600",3500
"2005 SL 500",3500
"2005 SL500",3500
"2005 SL55",3500
"2005 SL600",3500
"2005 SLK350",3500
"2005 SPRINTER 2500",2750
"2005 SPRINTER 3500",2750
"2006 C230",3500
"2006 CL500",3500
"2006 CL65",3500
"2006 CLK350",3500
"2006 CLK500",3500
"2006 CLS500",3500
"2006 CLS55 AMG",3500
"2006 E320 CDI",2750
"2006 E350",3500
"2006 E500",3500
"2006 E55",3500
"2006 E550",3500
"2006 GL450",3500
"2006 ML350",3500
"2006 ML500",3500
"2006 R350",3500
"2006 R500",3500
"2006 S 430",3500
"2006 S430",3500
"2006 S500",3500
"2006 S550",3500
"2006 S600",3500
"2006 SL 500",3500
"2006 SL55 AMG",3500
"2006 SLK 350",3500
"2006 SLK280",3500
"2006 SLK300",3500
"2006 SLK350",3500
"2006 SLK55 AMG",3500
"2006 SPRINTER",2750
"2006 SPRINTER 2300",2750
"2006 SPRINTER 2500",2750
"2006 Sprinter 3500",2750
"2006 c350",3500
"2007 C230",3500
"2007 C280",3500
"2007 CL500",3500
"2007 CL63",3500
"2007 CLK350",3500
"2007 CLK500",3500
"2007 CLK63",3500
"2007 CLS 500",3500
"2007 CLS550",3500
"2007 CLS63",3500
"2007 E320 Diesel",2750
"2007 E350",3500
"2007 E550",3500
"2007 E63",3500
"2007 GL 450",3500
"2007 GL450",3500
"2007 ML 350",3500
"2007 ML320 CDI",2750
"2007 ML500",3500
"2007 ML63",3500
"2007 Porsche 911 4WD",3000
"2007 R320 CDI",3500
"2007 R350",3500
"2007 R500",3500
"2007 S 65",3500
"2007 S430",3500
"2007 S550",3500
"2007 S550 4MATIC",3500
"2007 S600",3500
"2007 SL 550",3500
"2007 SL55 AMG",3500
"2007 SL550",3500
"2007 SLK 280",3500
"2007 SLK 350",3500
"2007 Sprinter 2500",2750
"2007 c300",3500
"2008 C300",3500
"2008 C350",3500
"2008 CL 550",3500
"2008 CLK350",3500
"2008 CLK63",3500
"2008 CLS 550",3500
"2008 E320 CDI",2750
"2008 E350",3500
"2008 E350 4Matic",3500
"2008 E350 4Matic 722.676",2750
"2008 E550",3500
"2008 E63",4000
"2008 G500",3500
"2008 G55",3500
"2008 GL 450",3500
"2008 GL320 CDI",3500
"2008 GL550",3500
"2008 ML 320 CDI",3500
"2008 ML 350 4Matic",3500
"2008 ML 550",3500
"2008 ML 63",3500
"2008 Maybach 62S",3500
"2008 R320 CDI 4Matic",3500
"2008 R350",3500
"2008 S350",3500
